instance,best,literature,greedy,rand_0.1,rand_0.2,rand_0.3,react_0.5,react_1.0,react_2.0
scenario_n50_l12_d0.20_instance01,3.8,3.8,4.416666666666667,5.0,5.916666666666667,4.958333333333333,4.125,4.083333333333333,3.9285714285714284
scenario_n50_l12_d0.50_instance01,2.0,2.0,2.875,3.9166666666666665,5.583333333333333,4.041666666666667,2.1666666666666665,2.1666666666666665,2.0714285714285716
scenario_n50_l12_d0.80_instance01,1.1,1.1,2.4583333333333335,3.8333333333333335,5.583333333333333,3.5833333333333335,1.6666666666666667,1.6666666666666667,1.8571428571428572
scenario_n50_l25_d0.20_instance01,5.9,5.9,7.166666666666667,8.625,11.041666666666666,8.791666666666666,6.541666666666667,6.583333333333333,6.5
scenario_n50_l25_d0.50_instance01,3.0,3.0,5.291666666666667,7.458333333333333,10.166666666666666,7.291666666666667,3.6666666666666665,3.6666666666666665,3.9285714285714284
scenario_n50_l25_d0.80_instance01,2.0,2.0,4.416666666666667,7.0,10.208333333333334,6.958333333333333,2.7916666666666665,2.7916666666666665,3.0714285714285716
scenario_n50_l50_d0.20_instance01,8.6,8.6,11.375,13.916666666666666,17.583333333333332,14.333333333333334,10.083333333333334,10.125,9.928571428571429
scenario_n50_l50_d0.50_instance01,4.0,4.0,8.333333333333334,11.625,16.375,11.541666666666666,5.5,5.541666666666667,5.571428571428571
scenario_n50_l50_d0.80_instance01,3.0,3.0,7.333333333333333,11.291666666666666,16.208333333333332,11.041666666666666,4.375,4.375,4.642857142857143
scenario_n50_l62_d0.20_instance01,9.3,9.3,13.541666666666666,16.625,20.25,16.708333333333332,11.916666666666666,12.0,12.0
scenario_n50_l62_d0.50_instance01,4.8,4.8,9.666666666666666,13.708333333333334,18.583333333333332,13.291666666666666,6.708333333333333,6.666666666666667,7.0
scenario_n50_l62_d0.80_instance01,3.0,3.0,8.5,13.416666666666666,18.541666666666668,12.875,5.75,5.666666666666667,6.214285714285714
Média,,4.208333333333333,7.114583333333335,9.70138888888889,13.003472222222221,9.618055555555555,5.440972222222222,5.444444444444444,5.55952380952381
