instance,best,literature,greedy,rand_0.3,rand_0.5,rand_0.8,react_0.5,react_1.0,react_2.0
scenario_n30_l30_d0.20_instance01,7.4,0.0,0.2837837837837837,0.45752895752895756,0.805019305019305,0.4671814671814672,0.24517374517374502,0.22586872586872578,0.24999999999999994
scenario_n30_l30_d0.50_instance01,3.7,0.0,0.7374517374517374,1.5096525096525097,2.2239382239382235,1.0463320463320462,0.35135135135135126,0.35135135135135126,0.21621621621621614
scenario_n30_l30_d0.80_instance01,2.8,0.0,1.0918367346938775,2.188775510204082,3.2857142857142856,1.2704081632653061,0.22448979591836735,0.22448979591836735,0.25000000000000006
Média,,0.0,0.7043574186431328,1.3853189924618496,2.104890604890605,0.9279738922596065,0.2736716308144879,0.2672366243794815,0.23873873873873874
