instance,best,literature,greedy,rand_0.3,rand_0.5,rand_0.8,react_0.5,react_1.0,react_2.0
scenario_n20_l20_d0.20_instance01,6.7,6.7,8.208333333333334,8.375,8.75,8.666666666666666,8.291666666666666,8.208333333333334,8.285714285714286
scenario_n20_l20_d0.50_instance01,3.1,3.1,4.333333333333333,5.166666666666667,6.125,5.166666666666667,3.875,3.875,3.9285714285714284
scenario_n20_l20_d0.80_instance01,2.4,2.4,3.5416666666666665,4.583333333333333,5.791666666666667,4.833333333333333,2.9583333333333335,2.9583333333333335,2.857142857142857
Média,,4.066666666666667,5.361111111111112,6.041666666666667,6.888888888888889,6.222222222222221,5.041666666666667,5.013888888888889,5.023809523809525
