instance,best,literature,greedy,rand_0.3,rand_0.5,rand_0.8,react_0.5,react_1.0,react_2.0
scenario_n40_l40_d0.20_instance01,7.4,7.4,10.458333333333334,11.958333333333334,14.333333333333334,12.166666666666666,9.666666666666666,9.708333333333334,9.928571428571429
scenario_n40_l40_d0.50_instance01,3.7,3.7,7.041666666666667,9.333333333333334,12.916666666666666,9.666666666666666,5.0,5.083333333333333,5.0
scenario_n40_l40_d0.80_instance01,2.9,2.9,6.125,9.041666666666666,12.416666666666666,8.75,3.7916666666666665,3.7916666666666665,3.857142857142857
Média,,4.666666666666667,7.875,10.111111111111112,13.222222222222221,10.194444444444445,6.152777777777778,6.1944444444444455,6.261904761904762
