instance,best,literature,greedy,rand_0.3,rand_0.5,rand_0.8,react_0.5,react_1.0,react_2.0
scenario_n40_l40_d0.20_instance01,7.4,0.0,0.4092664092664092,0.7857142857142855,1.2779922779922779,0.6505791505791504,0.2741312741312741,0.2741312741312741,0.2837837837837837
scenario_n40_l40_d0.50_instance01,3.7,0.0,1.2586872586872586,2.3011583011583006,3.5173745173745177,1.49034749034749,0.38996138996139,0.38996138996139,0.35135135135135126
scenario_n40_l40_d0.80_instance01,2.9,0.0,1.660098522167488,3.334975369458128,4.566502463054187,1.684729064039409,0.2561576354679803,0.2561576354679803,0.20689655172413796
Média,,0.0,1.1093507300403853,2.140615985443571,3.1206230861403275,1.2752185683220165,0.3067500998535481,0.3067500998535481,0.280677228953091
