instance,best,literature,greedy,rand_0.3,rand_0.5,rand_0.8,react_0.5,react_1.0,react_2.0
scenario_n30_l30_d0.20_instance01,7.4,7.4,9.291666666666666,9.833333333333334,11.458333333333334,10.25,8.875,8.666666666666666,8.5
scenario_n30_l30_d0.50_instance01,3.7,3.7,5.916666666666667,7.5,9.5,7.541666666666667,4.916666666666667,4.916666666666667,4.714285714285714
scenario_n30_l30_d0.80_instance01,2.8,2.8,4.833333333333333,6.666666666666667,9.416666666666666,6.833333333333333,3.4166666666666665,3.4166666666666665,3.4285714285714284
Média,,4.633333333333334,6.6805555555555545,8.000000000000002,10.125,8.208333333333334,5.736111111111112,5.666666666666667,5.5476190476190474
