instance,best,literature,greedy,rand_0.3,rand_0.5,rand_0.8,react_0.5,react_1.0,react_2.0
scenario_n50_l12_d0.20_instance01,3.8,0.0,0.22180451127819564,0.48496240601503776,0.9360902255639098,0.4285714285714287,0.14661654135338342,0.12781954887218047,0.118421052631579
scenario_n50_l12_d0.50_instance01,2.0,0.0,0.75,1.6428571428571428,2.7142857142857144,1.0357142857142856,0.1428571428571428,0.1428571428571428,0.125
scenario_n50_l12_d0.80_instance01,1.1,0.0,1.9870129870129867,3.675324675324675,5.753246753246754,1.9870129870129867,0.29870129870129863,0.29870129870129863,0.36363636363636354
scenario_n50_l25_d0.20_instance01,5.9,0.0,0.25907990314769974,0.6828087167070217,1.3728813559322033,0.5496368038740919,0.08958837772397092,0.10169491525423723,0.059322033898305024
scenario_n50_l25_d0.50_instance01,3.0,0.0,1.0238095238095237,2.3333333333333335,3.5952380952380953,1.3333333333333333,0.16666666666666666,0.16666666666666666,0.25
scenario_n50_l25_d0.80_instance01,2.0,0.0,1.8214285714285716,3.8928571428571432,5.964285714285714,2.25,0.2857142857142858,0.2857142857142858,0.5
scenario_n50_l50_d0.20_instance01,8.6,0.0,0.420265780730897,0.9518272425249169,1.5747508305647842,0.6860465116279071,0.21262458471760806,0.20431893687707653,0.2209302325581396
scenario_n50_l50_d0.50_instance01,4.0,0.0,1.5535714285714284,2.9107142857142856,4.285714285714286,1.6428571428571428,0.375,0.375,0.375
scenario_n50_l50_d0.80_instance01,3.0,0.0,2.1904761904761902,4.238095238095238,6.0,2.2380952380952377,0.3095238095238095,0.3095238095238095,0.25
scenario_n50_l62_d0.20_instance01,9.3,0.0,0.5130568356374806,1.0814132104454683,1.642089093701997,0.7665130568356372,0.2596006144393239,0.2596006144393239,0.2096774193548386
scenario_n50_l62_d0.50_instance01,4.8,0.0,1.5297619047619047,2.8095238095238093,3.8809523809523805,1.4255952380952381,0.35416666666666674,0.35416666666666674,0.45833333333333337
scenario_n50_l62_d0.80_instance01,3.0,0.0,2.8333333333333335,5.0,6.809523809523809,2.6666666666666665,0.619047619047619,0.619047619047619,0.5833333333333334
Média,,0.0,1.258633414182351,2.4753097669498394,3.7107548549174703,1.417503557723663,0.2716756339509813,0.27042595871835895,0.29280448072882437
