instance,best,literature,greedy,rand_0.3,rand_0.5,rand_0.8,react_0.5,react_1.0,react_2.0
scenario_n20_l20_d0.20_instance01,6.7,0.0,0.2251243781094528,0.24999999999999997,0.3059701492537313,0.2935323383084576,0.23756218905472626,0.2251243781094528,0.2366737739872069
scenario_n20_l20_d0.50_instance01,3.1,0.0,0.39784946236559127,0.6666666666666667,0.9758064516129031,0.6666666666666667,0.24999999999999997,0.24999999999999997,0.2672811059907833
scenario_n20_l20_d0.80_instance01,2.4,0.0,0.4756944444444444,0.9097222222222222,1.4131944444444446,1.0138888888888888,0.232638888888889,0.232638888888889,0.19047619047619055
Média,,0.0,0.3662227616398295,0.6087962962962963,0.8983236817703597,0.658029297954671,0.24006702598120508,0.23592108899944728,0.23147702348472696
