# master_seed: 1783263541
instance,run_id,seed,greedy,rand_0.3,rand_0.5,rand_0.8,react_0.5,react_1.0,react_2.0,time_greedy,time_rand_0.3,time_rand_0.5,time_rand_0.8,time_react_0.5,time_react_1.0,time_react_2.0
scenario_n500_l375_d0.50_instance01,1,23289,14,NA,NA,NA,NA,NA,NA,8.9709,NA,NA,NA,NA,NA,NA
scenario_n500_l375_d0.80_instance01,1,23289,6,NA,NA,NA,NA,NA,NA,12.0008,NA,NA,NA,NA,NA,NA
scenario_n500_l500_d0.20_instance01,1,23289,32,NA,NA,NA,NA,NA,NA,6.9826,NA,NA,NA,NA,NA,NA
scenario_n500_l500_d0.50_instance01,1,23289,15,NA,NA,NA,NA,NA,NA,9.2027,NA,NA,NA,NA,NA,NA
scenario_n500_l500_d0.80_instance01,1,23289,7,NA,NA,NA,NA,NA,NA,13.3844,NA,NA,NA,NA,NA,NA
scenario_n500_l625_d0.20_instance01,1,23289,39,NA,NA,NA,NA,NA,NA,9.0643,NA,NA,NA,NA,NA,NA
scenario_n500_l625_d0.50_instance01,1,23289,17,NA,NA,NA,NA,NA,NA,9.3924,NA,NA,NA,NA,NA,NA
scenario_n500_l625_d0.80_instance01,1,23289,10,NA,NA,NA,NA,NA,NA,15.9454,NA,NA,NA,NA,NA,NA
scenario_n50_l12_d0.20_instance01,1,23289,5,5,6,8,4,4,4,0.0474,4.422600,8.206700,4.458000,28.314800,27.710800,27.309100
scenario_n50_l12_d0.50_instance01,1,23289,3,4,6,9,3,3,3,0.0736,9.174600,8.383900,11.714300,51.378800,50.438200,53.790900
scenario_n50_l12_d0.80_instance01,1,23289,1,4,6,8,1,1,1,0.1082,11.433600,12.398800,11.307800,66.595200,66.710200,63.989900
scenario_n50_l25_d0.20_instance01,1,23289,5,8,12,15,5,5,5,0.0567,6.597500,5.959300,6.407000,40.098600,36.305200,35.704800
scenario_n50_l25_d0.50_instance01,1,23289,4,7,11,16,4,4,4,0.0799,12.093900,10.500500,11.250900,85.573000,69.573800,54.999000
scenario_n50_l25_d0.80_instance01,1,23289,2,8,11,16,2,2,5,0.0913,14.338500,13.512400,13.961600,79.012900,77.897300,77.680800
scenario_n50_l50_d0.20_instance01,1,23289,12,14,19,25,12,12,12,0.1297,9.832700,11.179600,14.902300,69.447500,65.999000,64.435800
scenario_n50_l50_d0.50_instance01,1,23289,6,13,19,23,6,6,6,0.1174,13.677700,15.909900,18.251000,89.683300,84.937200,78.529400
scenario_n50_l50_d0.80_instance01,1,23289,4,12,18,25,4,4,4,0.1508,20.936000,19.125700,22.425500,110.521500,102.413200,97.169900
scenario_n50_l62_d0.20_instance01,1,23289,11,17,21,27,11,11,11,0.1799,13.796500,14.710700,17.680200,87.598800,83.620600,72.034400
