# master_seed: 1783263541
instance,run_id,seed,greedy,rand_0.3,rand_0.5,rand_0.8,react_0.5,react_1.0,react_2.0,time_greedy,time_rand_0.3,time_rand_0.5,time_rand_0.8,time_react_0.5,time_react_1.0,time_react_2.0
scenario_n50_l25_d0.80_instance01,3,8954,3,7,12,16,3,3,3,0.1037,13.377200,13.288500,14.854500,79.423200,77.133000,71.890200
scenario_n50_l50_d0.20_instance01,3,8954,10,13,19,24,10,10,10,0.109,9.452400,11.341400,13.191300,63.777300,63.797500,57.066200
scenario_n50_l50_d0.50_instance01,3,8954,5,13,18,23,5,5,5,0.1097,13.992000,14.043900,18.021200,84.947900,83.308200,73.577500
scenario_n50_l50_d0.80_instance01,3,8954,3,13,18,23,3,3,3,0.123,17.720000,19.577700,22.405700,111.429700,99.297400,92.151300
scenario_n50_l62_d0.20_instance01,3,8954,10,15,21,28,10,10,10,0.1546,12.164400,15.200800,16.571900,82.271500,78.946800,71.486200
scenario_n50_l62_d0.50_instance01,3,8954,8,15,21,26,8,8,8,0.1498,16.040200,18.908100,23.225900,111.794500,104.515500,91.198400
scenario_n50_l62_d0.80_instance01,3,8954,4,15,22,26,4,4,4,0.1509,22.517100,23.803700,25.958600,126.347500,117.435400,107.380300
scenario_n1000_l1000_d0.20_instance01,4,29503,72,NA,NA,NA,NA,NA,NA,42.5074,NA,NA,NA,NA,NA,NA
scenario_n1000_l1000_d0.50_instance01,4,29503,49,NA,NA,NA,NA,NA,NA,70.4152,NA,NA,NA,NA,NA,NA
scenario_n1000_l1000_d0.80_instance01,4,29503,27,NA,NA,NA,NA,NA,NA,108.528,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.20_instance01,4,29503,70,NA,NA,NA,NA,NA,NA,66.2644,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.50_instance01,4,29503,49,NA,NA,NA,NA,NA,NA,79.9654,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.80_instance01,4,29503,26,NA,NA,NA,NA,NA,NA,104.111,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.20_instance01,4,29503,42,NA,NA,NA,NA,NA,NA,20.6309,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.50_instance01,4,29503,33,NA,NA,NA,NA,NA,NA,54.2314,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.80_instance01,4,29503,11,NA,NA,NA,NA,NA,NA,88.2698,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.20_instance01,4,29503,50,NA,NA,NA,NA,NA,NA,35.4736,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.50_instance01,4,29503,38,NA,NA,NA,NA,NA,NA,59.1781,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.80_instance01,4,29503,16,NA,NA,NA,NA,NA,NA,91.092,NA,NA,NA,NA,NA,NA
scenario_n1000_l750_d0.20_instance01,4,29503,58,NA,NA,NA,NA,NA,NA,30.9729,NA,NA,NA,NA,NA,NA
scenario_n1000_l750_d0.50_instance01,4,29503,41,NA,NA,NA,NA,NA,NA,62.811,NA,NA,NA,NA,NA,NA
scenario_n1000_l750_d0.80_instance01,4,29503,20,NA,NA,NA,NA,NA,NA,90.4773,NA,NA,NA,NA,NA,NA
scenario_n100_l100_d0.20_instance01,4,29503,12,27,40,49,12,12,12,0.362,45.338000,60.066200,71.866000,294.382900,279.071800,239.261700
scenario_n100_l100_d0.50_instance01,4,29503,8,27,38,52,8,8,8,0.3747,72.065200,86.609600,104.068400,462.457000,439.942900,401.933400
scenario_n100_l100_d0.80_instance01,4,29503,4,27,38,51,4,4,4,0.4258,107.057100,118.026000,138.207600,680.712900,720.680200,622.119000
scenario_n100_l125_d0.20_instance01,4,29503,17,33,45,56,17,17,17,0.7382,74.214400,88.747900,95.885500,456.532200,438.229600,423.824400
scenario_n100_l125_d0.50_instance01,4,29503,9,32,43,57,9,9,9,0.6142,124.217400,148.588700,145.166800,645.309900,594.657900,550.418600
scenario_n100_l125_d0.80_instance01,4,29503,5,32,43,56,5,5,5,0.8376,138.554400,148.251200,156.569500,733.198500,671.896300,591.337200
scenario_n100_l25_d0.20_instance01,4,29503,6,8,13,19,6,5,5,0.1389,21.590800,21.497000,23.420000,131.172700,130.635200,136.954700
scenario_n100_l25_d0.50_instance01,4,29503,3,8,13,19,3,3,3,0.2439,47.297100,51.330800,52.829200,334.167900,303.540500,279.990900
scenario_n100_l25_d0.80_instance01,4,29503,2,8,13,19,2,2,2,0.3878,71.389600,69.817300,69.041800,405.183500,401.118100,397.054900
scenario_n100_l50_d0.20_instance01,4,29503,8,15,23,33,8,8,8,0.1867,26.380500,31.006600,31.906800,195.889400,177.285500,169.772000
scenario_n100_l50_d0.50_instance01,4,29503,5,14,23,33,5,5,5,0.2748,52.135000,56.935500,59.804500,333.873100,319.292400,308.173900
scenario_n100_l50_d0.80_instance01,4,29503,3,15,23,34,3,3,3,0.3401,76.331500,81.817600,86.267100,474.658600,703.370300,561.893500
scenario_n20_l20_d0.20_instance01,4,29503,7,7,8,9,7,7,7,0.0324,1.647000,1.753900,1.979200,11.098200,10.813800,9.441600
scenario_n20_l20_d0.50_instance01,4,29503,4,5,7,9,4,4,4,0.0349,2.892400,2.785900,2.788600,14.596800,14.371700,12.810600
scenario_n20_l20_d0.80_instance01,4,29503,3,5,7,9,3,3,3,0.0352,2.788100,2.901100,3.024400,16.615000,16.063800,15.938000
scenario_n30_l30_d0.20_instance01,4,29503,9,9,12,15,9,9,9,0.068,4.287500,4.596600,5.009500,28.877800,28.883200,25.044600
scenario_n30_l30_d0.50_instance01,4,29503,5,8,11,14,5,5,5,0.062,5.355500,5.802400,6.875000,33.098000,32.170100,29.040100
scenario_n30_l30_d0.80_instance01,4,29503,4,8,11,15,4,4,4,0.0756,6.801900,7.738100,9.091000,41.454900,38.363300,34.784800
scenario_n40_l40_d0.20_instance01,4,29503,9,11,14,19,9,9,9,0.0911,6.509500,7.735700,8.748000,43.988000,48.610000,43.972900
scenario_n40_l40_d0.50_instance01,4,29503,5,10,14,19,5,5,5,0.0933,10.592600,11.302400,11.907900,60.690100,58.312200,53.661400
scenario_n40_l40_d0.80_instance01,4,29503,4,10,13,18,4,4,4,0.1003,12.422600,12.940600,13.806100,74.145100,75.978600,71.026400
scenario_n500_l125_d0.20_instance01,4,29503,13,NA,NA,NA,NA,NA,NA,2.6811,NA,NA,NA,NA,NA,NA
scenario_n500_l125_d0.50_instance01,4,29503,7,NA,NA,NA,NA,NA,NA,7.4553,NA,NA,NA,NA,NA,NA
scenario_n500_l125_d0.80_instance01,4,29503,3,NA,NA,NA,NA,NA,NA,13.1227,NA,NA,NA,NA,NA,NA
scenario_n500_l250_d0.20_instance01,4,29503,21,NA,NA,NA,NA,NA,NA,3.5888,NA,NA,NA,NA,NA,NA
scenario_n500_l250_d0.50_instance01,4,29503,8,NA,NA,NA,NA,NA,NA,7.9825,NA,NA,NA,NA,NA,NA
scenario_n500_l250_d0.80_instance01,4,29503,5,NA,NA,NA,NA,NA,NA,15.7595,NA,NA,NA,NA,NA,NA
scenario_n500_l375_d0.20_instance01,4,29503,28,NA,NA,NA,NA,NA,NA,6.1212,NA,NA,NA,NA,NA,NA
scenario_n500_l375_d0.50_instance01,4,29503,15,NA,NA,NA,NA,NA,NA,9.3518,NA,NA,NA,NA,NA,NA
scenario_n500_l375_d0.80_instance01,4,29503,7,NA,NA,NA,NA,NA,NA,14.4046,NA,NA,NA,NA,NA,NA
scenario_n500_l500_d0.20_instance01,4,29503,38,NA,NA,NA,NA,NA,NA,9.3037,NA,NA,NA,NA,NA,NA
scenario_n500_l500_d0.50_instance01,4,29503,18,NA,NA,NA,NA,NA,NA,11.8776,NA,NA,NA,NA,NA,NA
scenario_n500_l500_d0.80_instance01,4,29503,8,NA,NA,NA,NA,NA,NA,16.9625,NA,NA,NA,NA,NA,NA
scenario_n500_l625_d0.20_instance01,4,29503,40,NA,NA,NA,NA,NA,NA,13.3505,NA,NA,NA,NA,NA,NA
scenario_n500_l625_d0.50_instance01,4,29503,20,NA,NA,NA,NA,NA,NA,14.3874,NA,NA,NA,NA,NA,NA
scenario_n500_l625_d0.80_instance01,4,29503,8,NA,NA,NA,NA,NA,NA,18.2926,NA,NA,NA,NA,NA,NA
scenario_n50_l12_d0.20_instance01,4,29503,4,4,6,8,4,4,4,0.0591,10.764200,5.878100,6.296500,56.358100,47.013800,35.759400
scenario_n50_l12_d0.50_instance01,4,29503,2,4,6,8,2,2,2,0.0955,10.921400,11.687100,11.491300,73.798000,78.213400,89.837900
scenario_n50_l12_d0.80_instance01,4,29503,1,4,6,8,1,1,1,0.1509,15.297000,20.514800,18.491800,102.015500,91.323000,80.583400
scenario_n50_l25_d0.20_instance01,4,29503,8,8,12,15,8,7,7,0.0794,7.136600,7.448700,8.289500,45.725200,45.396600,45.968800
scenario_n50_l25_d0.50_instance01,4,29503,4,8,11,16,4,4,4,0.0975,11.282400,12.372600,13.513200,73.417600,80.026900,69.885600
scenario_n50_l25_d0.80_instance01,4,29503,2,7,12,16,2,2,2,0.1377,16.580000,19.479900,17.950300,102.052900,96.475800,96.289600
scenario_n50_l50_d0.20_instance01,4,29503,11,15,20,26,11,11,11,0.1324,10.897400,13.763700,14.521400,74.170400,79.589000,76.323100
scenario_n50_l50_d0.50_instance01,4,29503,6,13,18,23,6,6,6,0.1869,19.674100,17.494300,21.868800,105.110600,92.634500,81.112100
scenario_n50_l50_d0.80_instance01,4,29503,4,13,17,24,4,4,4,0.1403,21.819400,22.370800,24.797900,125.295900,118.259500,102.339800
scenario_n50_l62_d0.20_instance01,4,29503,11,17,22,28,11,11,11,0.1654,14.048800,17.649500,20.156600,96.362400,94.885200,84.493900
scenario_n50_l62_d0.50_instance01,4,29503,6,16,22,24,6,6,6,0.1598,18.463000,22.139000,26.532900,115.983400,110.180900,98.971000
scenario_n50_l62_d0.80_instance01,4,29503,6,16,21,26,6,6,6,0.1822,24.127300,28.754000,31.254100,145.400800,135.630500,124.115900
scenario_n1000_l1000_d0.20_instance01,5,18611,63,NA,NA,NA,NA,NA,NA,45.4424,NA,NA,NA,NA,NA,NA
scenario_n1000_l1000_d0.50_instance01,5,18611,48,NA,NA,NA,NA,NA,NA,82.6383,NA,NA,NA,NA,NA,NA
scenario_n1000_l1000_d0.80_instance01,5,18611,26,NA,NA,NA,NA,NA,NA,111.204,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.20_instance01,5,18611,69,NA,NA,NA,NA,NA,NA,58.1999,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.50_instance01,5,18611,49,NA,NA,NA,NA,NA,NA,88.4562,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.80_instance01,5,18611,28,NA,NA,NA,NA,NA,NA,108.265,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.20_instance01,5,18611,41,NA,NA,NA,NA,NA,NA,34.0463,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.50_instance01,5,18611,36,NA,NA,NA,NA,NA,NA,57.547,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.80_instance01,5,18611,10,NA,NA,NA,NA,NA,NA,94.3653,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.20_instance01,5,18611,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scenario_n1000_l1000_d0.20_instance01,1,68,NA,NA,NA,NA,NA,NA
scenario_n1000_l1000_d0.50_instance01,1,48,NA,NA,NA,NA,NA,NA
scenario_n1000_l1000_d0.80_instance01,1,21,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.20_instance01,1,77,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.50_instance01,1,48,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.80_instance01,1,27,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.20_instance01,1,39,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.50_instance01,1,33,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.80_instance01,1,14,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.20_instance01,1,52,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.50_instance01,1,42,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.80_instance01,1,15,NA,NA,NA,NA,NA,NA
scenario_n1000_l750_d0.20_instance01,1,62,NA,NA,NA,NA,NA,NA
scenario_n1000_l750_d0.50_instance01,1,46,NA,NA,NA,NA,NA,NA
scenario_n1000_l750_d0.80_instance01,1,25,NA,NA,NA,NA,NA,NA
scenario_n100_l100_d0.20_instance01,1,16,26,38,49,16,16,16
scenario_n100_l100_d0.50_instance01,1,8,24,36,48,8,8,8
scenario_n100_l100_d0.80_instance01,1,3,25,37,49,3,3,3
scenario_n100_l125_d0.20_instance01,1,13,29,43,53,13,13,13
scenario_n100_l125_d0.50_instance01,1,7,31,42,50,7,7,7
scenario_n100_l125_d0.80_instance01,1,6,31,43,54,6,6,6
scenario_n100_l25_d0.20_instance01,1,5,8,12,18,5,5,5
scenario_n100_l25_d0.50_instance01,1,2,8,12,18,2,2,2
scenario_n100_l25_d0.80_instance01,1,2,8,12,18,2,2,2
scenario_n100_l50_d0.20_instance01,1,8,14,20,32,8,8,8
scenario_n100_l50_d0.50_instance01,1,4,14,21,31,4,4,4
scenario_n100_l50_d0.80_instance01,1,3,14,22,33,3,3,3
scenario_n20_l20_d0.20_instance01,1,10,9,9,10,9,9,9
scenario_n20_l20_d0.50_instance01,1,4,5,6,8,4,4,4
scenario_n20_l20_d0.80_instance01,1,3,5,6,8,3,3,3
scenario_n30_l30_d0.20_instance01,1,9,9,12,14,9,9,9
scenario_n30_l30_d0.50_instance01,1,5,7,9,12,5,5,5
scenario_n30_l30_d0.80_instance01,1,3,7,9,13,3,3,3
scenario_n40_l40_d0.20_instance01,1,9,10,14,18,9,9,9
scenario_n40_l40_d0.50_instance01,1,6,9,13,17,6,6,6
scenario_n40_l40_d0.80_instance01,1,2,10,14,18,2,2,2
scenario_n500_l125_d0.20_instance01,1,13,NA,NA,NA,NA,NA,NA
scenario_n500_l125_d0.50_instance01,1,7,NA,NA,NA,NA,NA,NA
scenario_n500_l125_d0.80_instance01,1,2,NA,NA,NA,NA,NA,NA
scenario_n500_l250_d0.20_instance01,1,26,NA,NA,NA,NA,NA,NA
scenario_n500_l250_d0.50_instance01,1,11,NA,NA,NA,NA,NA,NA
scenario_n500_l250_d0.80_instance01,1,6,NA,NA,NA,NA,NA,NA
scenario_n500_l375_d0.20_instance01,1,30,NA,NA,NA,NA,NA,NA
scenario_n500_l375_d0.50_instance01,1,14,NA,NA,NA,NA,NA,NA
scenario_n500_l375_d0.80_instance01,1,8,NA,NA,NA,NA,NA,NA
scenario_n500_l500_d0.20_instance01,1,35,NA,NA,NA,NA,NA,NA
scenario_n500_l500_d0.50_instance01,1,21,NA,NA,NA,NA,NA,NA
scenario_n500_l500_d0.80_instance01,1,9,NA,NA,NA,NA,NA,NA
scenario_n500_l625_d0.20_instance01,1,36,NA,NA,NA,NA,NA,NA
scenario_n500_l625_d0.50_instance01,1,21,NA,NA,NA,NA,NA,NA
scenario_n500_l625_d0.80_instance01,1,10,NA,NA,NA,NA,NA,NA
scenario_n50_l12_d0.20_instance01,1,5,5,6,8,5,5,5
scenario_n50_l12_d0.50_instance01,1,2,4,6,8,2,2,2
scenario_n50_l12_d0.80_instance01,1,1,4,5,8,1,1,1
scenario_n50_l25_d0.20_instance01,1,5,7,11,15,5,5,5
scenario_n50_l25_d0.50_instance01,1,4,7,11,15,4,4,4
scenario_n50_l25_d0.80_instance01,1,2,7,11,15,2,2,2
scenario_n50_l50_d0.20_instance01,1,13,14,18,23,13,13,13
scenario_n50_l50_d0.50_instance01,1,5,12,16,23,5,5,5
scenario_n50_l50_d0.80_instance01,1,5,12,18,22,5,5,5
scenario_n50_l62_d0.20_instance01,1,11,14,20,24,11,11,11
scenario_n50_l62_d0.50_instance01,1,8,15,21,25,8,8,8
scenario_n50_l62_d0.80_instance01,1,5,15,19,25,5,5,5
scenario_n1000_l1000_d0.20_instance01,2,67,NA,NA,NA,NA,NA,NA
scenario_n1000_l1000_d0.50_instance01,2,45,NA,NA,NA,NA,NA,NA
scenario_n1000_l1000_d0.80_instance01,2,22,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.20_instance01,2,73,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.50_instance01,2,51,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.80_instance01,2,24,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.20_instance01,2,40,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.50_instance01,2,36,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.80_instance01,2,11,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.20_instance01,2,51,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.50_instance01,2,39,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.80_instance01,2,18,NA,NA,NA,NA,NA,NA
scenario_n1000_l750_d0.20_instance01,2,56,NA,NA,NA,NA,NA,NA
scenario_n1000_l750_d0.50_instance01,2,42,NA,NA,NA,NA,NA,NA
scenario_n1000_l750_d0.80_instance01,2,21,NA,NA,NA,NA,NA,NA
scenario_n100_l100_d0.20_instance01,2,12,25,36,49,12,12,12
scenario_n100_l100_d0.50_instance01,2,6,26,36,50,6,6,6
scenario_n100_l100_d0.80_instance01,2,5,25,37,50,5,5,5
scenario_n100_l125_d0.20_instance01,2,15,31,42,52,15,15,15
scenario_n100_l125_d0.50_instance01,2,7,30,43,54,7,7,7
scenario_n100_l125_d0.80_instance01,2,6,29,44,54,6,6,6
scenario_n100_l25_d0.20_instance01,2,4,8,12,18,4,4,4
scenario_n100_l25_d0.50_instance01,2,2,8,12,18,2,2,2
scenario_n100_l25_d0.80_instance01,2,2,8,12,18,2,2,2
scenario_n100_l50_d0.20_instance01,2,11,15,22,32,10,11,11
scenario_n100_l50_d0.50_instance01,2,4,14,22,32,4,4,4
scenario_n100_l50_d0.80_instance01,2,3,14,22,32,3,3,3
scenario_n20_l20_d0.20_instance01,2,9,9,8,9,8,9,9
scenario_n20_l20_d0.50_instance01,2,4,4,7,8,4,4,4
scenario_n20_l20_d0.80_instance01,2,3,4,6,7,3,3,3
scenario_n30_l30_d0.20_instance01,2,11,11,11,13,11,11,11
scenario_n30_l30_d0.50_instance01,2,5,7,10,13,5,5,5
scenario_n30_l30_d0.80_instance01,2,3,6,9,13,3,3,3
scenario_n40_l40_d0.20_instance01,2,8,10,14,17,8,8,8
scenario_n40_l40_d0.50_instance01,2,5,10,14,18,5,5,5
scenario_n40_l40_d0.80_instance01,2,3,10,13,16,3,3,3
scenario_n500_l125_d0.20_instance01,2,13,NA,NA,NA,NA,NA,NA
scenario_n500_l125_d0.50_instance01,2,8,NA,NA,NA,NA,NA,NA
scenario_n500_l125_d0.80_instance01,2,3,NA,NA,NA,NA,NA,NA
scenario_n500_l250_d0.20_instance01,2,23,NA,NA,NA,NA,NA,NA
scenario_n500_l250_d0.50_instance01,2,12,NA,NA,NA,NA,NA,NA
scenario_n500_l250_d0.80_instance01,2,4,NA,NA,NA,NA,NA,NA
scenario_n500_l375_d0.20_instance01,2,29,NA,NA,NA,NA,NA,NA
scenario_n500_l375_d0.50_instance01,2,15,NA,NA,NA,NA,NA,NA
scenario_n500_l375_d0.80_instance01,2,6,NA,NA,NA,NA,NA,NA
scenario_n500_l500_d0.20_instance01,2,37,NA,NA,NA,NA,NA,NA
scenario_n500_l500_d0.50_instance01,2,19,NA,NA,NA,NA,NA,NA
scenario_n500_l500_d0.80_instance01,2,8,NA,NA,NA,NA,NA,NA
scenario_n500_l625_d0.20_instance01,2,40,NA,NA,NA,NA,NA,NA
scenario_n500_l625_d0.50_instance01,2,19,NA,NA,NA,NA,NA,NA
scenario_n500_l625_d0.80_instance01,2,8,NA,NA,NA,NA,NA,NA
scenario_n50_l12_d0.20_instance01,2,5,5,6,8,4,4,4
scenario_n50_l12_d0.50_instance01,2,2,4,5,8,2,2,2
scenario_n50_l12_d0.80_instance01,2,2,4,6,8,2,2,2
scenario_n50_l25_d0.20_instance01,2,7,8,11,15,7,7,7
scenario_n50_l25_d0.50_instance01,2,2,7,11,15,2,2,2
scenario_n50_l25_d0.80_instance01,2,2,7,10,15,2,2,2
scenario_n50_l50_d0.20_instance01,2,9,13,17,23,9,9,9
scenario_n50_l50_d0.50_instance01,2,7,12,17,23,7,7,7
scenario_n50_l50_d0.80_instance01,2,3,12,17,23,3,3,3
scenario_n50_l62_d0.20_instance01,2,12,16,21,25,12,12,12
scenario_n50_l62_d0.50_instance01,2,7,14,20,25,7,7,7
scenario_n50_l62_d0.80_instance01,2,5,14,18,24,5,5,5
scenario_n1000_l1000_d0.20_instance01,3,69,NA,NA,NA,NA,NA,NA
scenario_n1000_l1000_d0.50_instance01,3,47,NA,NA,NA,NA,NA,NA
scenario_n1000_l1000_d0.80_instance01,3,25,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.20_instance01,3,77,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.50_instance01,3,49,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.80_instance01,3,29,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.20_instance01,3,39,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.50_instance01,3,36,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.80_instance01,3,12,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.20_instance01,3,51,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.50_instance01,3,41,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.80_instance01,3,16,NA,NA,NA,NA,NA,NA
scenario_n1000_l750_d0.20_instance01,3,55,NA,NA,NA,NA,NA,NA
scenario_n1000_l750_d0.50_instance01,3,44,NA,NA,NA,NA,NA,NA
scenario_n1000_l750_d0.80_instance01,3,27,NA,NA,NA,NA,NA,NA
scenario_n100_l100_d0.20_instance01,3,14,26,37,49,14,14,14
scenario_n100_l100_d0.50_instance01,3,6,26,37,48,6,6,6
scenario_n100_l100_d0.80_instance01,3,5,26,37,49,5,5,5
scenario_n100_l125_d0.20_instance01,3,15,31,40,53,15,15,15
scenario_n100_l125_d0.50_instance01,3,6,31,42,54,6,6,6
scenario_n100_l125_d0.80_instance01,3,7,30,44,54,7,7,7
scenario_n100_l25_d0.20_instance01,3,5,8,12,18,5,5,5
scenario_n100_l25_d0.50_instance01,3,2,8,12,19,2,2,2
scenario_n100_l25_d0.80_instance01,3,2,8,12,18,2,2,2
scenario_n100_l50_d0.20_instance01,3,9,14,22,31,9,9,9
scenario_n100_l50_d0.50_instance01,3,4,14,22,31,4,4,4
scenario_n100_l50_d0.80_instance01,3,3,14,22,32,3,3,3
scenario_n20_l20_d0.20_instance01,3,10,9,9,9,9,9,9
scenario_n20_l20_d0.50_instance01,3,4,4,6,7,4,4,4
scenario_n20_l20_d0.80_instance01,3,3,5,6,8,3,3,3
scenario_n30_l30_d0.20_instance01,3,12,12,12,14,12,11,11
scenario_n30_l30_d0.50_instance01,3,5,7,10,13,5,5,5
scenario_n30_l30_d0.80_instance01,3,4,7,9,14,4,4,4
scenario_n40_l40_d0.20_instance01,3,8,10,13,17,8,7,8
scenario_n40_l40_d0.50_instance01,3,5,10,14,18,5,5,5
scenario_n40_l40_d0.80_instance01,3,5,9,14,16,5,5,5
scenario_n500_l125_d0.20_instance01,3,16,NA,NA,NA,NA,NA,NA
scenario_n500_l125_d0.50_instance01,3,6,NA,NA,NA,NA,NA,NA
scenario_n500_l125_d0.80_instance01,3,4,NA,NA,NA,NA,NA,NA
scenario_n500_l250_d0.20_instance01,3,22,NA,NA,NA,NA,NA,NA
scenario_n500_l250_d0.50_instance01,3,12,NA,NA,NA,NA,NA,NA
scenario_n500_l250_d0.80_instance01,3,4,NA,NA,NA,NA,NA,NA
scenario_n500_l375_d0.20_instance01,3,30,NA,NA,NA,NA,NA,NA
scenario_n500_l375_d0.50_instance01,3,18,NA,NA,NA,NA,NA,NA
scenario_n500_l375_d0.80_instance01,3,7,NA,NA,NA,NA,NA,NA
scenario_n500_l500_d0.20_instance01,3,39,NA,NA,NA,NA,NA,NA
scenario_n500_l500_d0.50_instance01,3,15,NA,NA,NA,NA,NA,NA
scenario_n500_l500_d0.80_instance01,3,7,NA,NA,NA,NA,NA,NA
scenario_n500_l625_d0.20_instance01,3,46,NA,NA,NA,NA,NA,NA
scenario_n500_l625_d0.50_instance01,3,22,NA,NA,NA,NA,NA,NA
scenario_n500_l625_d0.80_instance01,3,8,NA,NA,NA,NA,NA,NA
scenario_n50_l12_d0.20_instance01,3,6,5,6,8,5,5,5
scenario_n50_l12_d0.50_instance01,3,2,4,6,8,2,2,2
scenario_n50_l12_d0.80_instance01,3,1,4,6,8,1,1,1
scenario_n50_l25_d0.20_instance01,3,6,7,10,14,6,6,6
scenario_n50_l25_d0.50_instance01,3,4,7,11,15,4,4,4
scenario_n50_l25_d0.80_instance01,3,3,7,11,14,3,3,3
scenario_n50_l50_d0.20_instance01,3,11,13,18,23,11,11,11
scenario_n50_l50_d0.50_instance01,3,6,12,17,22,6,6,6
scenario_n50_l50_d0.80_instance01,3,4,11,17,22,4,4,4
scenario_n50_l62_d0.20_instance01,3,10,14,18,26,10,10,10
scenario_n50_l62_d0.50_instance01,3,6,14,19,26,6,6,6
scenario_n50_l62_d0.80_instance01,3,5,14,20,24,5,5,5
scenario_n1000_l1000_d0.20_instance01,4,67,NA,NA,NA,NA,NA,NA
scenario_n1000_l1000_d0.50_instance01,4,48,NA,NA,NA,NA,NA,NA
scenario_n1000_l1000_d0.80_instance01,4,26,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.20_instance01,4,75,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.50_instance01,4,51,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.80_instance01,4,27,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.20_instance01,4,44,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.50_instance01,4,33,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.80_instance01,4,12,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.20_instance01,4,50,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.50_instance01,4,40,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.80_instance01,4,19,NA,NA,NA,NA,NA,NA
scenario_n1000_l750_d0.20_instance01,4,62,NA,NA,NA,NA,NA,NA
scenario_n1000_l750_d0.50_instance01,4,45,NA,NA,NA,NA,NA,NA
scenario_n1000_l750_d0.80_instance01,4,23,NA,NA,NA,NA,NA,NA
scenario_n100_l100_d0.20_instance01,4,14,27,37,49,14,14,14
scenario_n100_l100_d0.50_instance01,4,6,26,37,48,6,6,6
scenario_n100_l100_d0.80_instance01,4,4,25,36,47,4,4,4
scenario_n100_l125_d0.20_instance01,4,15,30,41,52,15,15,15
scenario_n100_l125_d0.50_instance01,4,6,31,42,54,6,6,6
scenario_n100_l125_d0.80_instance01,4,6,31,42,55,6,6,6
scenario_n100_l25_d0.20_instance01,4,6,8,12,18,6,6,6
scenario_n100_l25_d0.50_instance01,4,2,8,12,18,2,2,2
scenario_n100_l25_d0.80_instance01,4,2,8,12,18,2,2,2
scenario_n100_l50_d0.20_instance01,4,7,14,23,33,7,7,7
scenario_n100_l50_d0.50_instance01,4,4,14,22,32,4,4,4
